DateTime,Junction,Vehicles,ID,Day
2017-02-01 00:00:00,1,69,20170201001,Wednesday
2017-02-01 01:00:00,1,60,20170201011,Wednesday
2017-02-01 02:00:00,1,57,20170201021,Wednesday
2017-02-01 03:00:00,1,48,20170201031,Wednesday
2017-02-01 04:00:00,1,45,20170201041,Wednesday
2017-02-01 05:00:00,1,36,20170201051,Wednesday
2017-02-01 06:00:00,1,39,20170201061,Wednesday
2017-02-01 07:00:00,1,40,20170201071,Wednesday
2017-02-01 08:00:00,1,48,20170201081,Wednesday
2017-02-01 09:00:00,1,61,20170201091,Wednesday
2017-02-01 10:00:00,1,71,20170201101,Wednesday
2017-02-01 11:00:00,1,72,20170201111,Wednesday
2017-02-01 12:00:00,1,76,20170201121,Wednesday
2017-02-01 13:00:00,1,69,20170201131,Wednesday
2017-02-01 14:00:00,1,77,20170201141,Wednesday
2017-02-01 15:00:00,1,76,20170201151,Wednesday
2017-02-01 16:00:00,1,76,20170201161,Wednesday
2017-02-01 17:00:00,1,76,20170201171,Wednesday
2017-02-01 18:00:00,1,78,20170201181,Wednesday
2017-02-01 19:00:00,1,83,20170201191,Wednesday
2017-02-01 20:00:00,1,85,20170201201,Wednesday
2017-02-01 21:00:00,1,100,20170201211,Wednesday
2017-02-01 22:00:00,1,91,20170201221,Wednesday
2017-02-01 23:00:00,1,82,20170201231,Wednesday
2017-02-02 00:00:00,1,74,20170202001,Thursday
2017-02-02 01:00:00,1,64,20170202011,Thursday
2017-02-02 02:00:00,1,59,20170202021,Thursday
2017-02-02 03:00:00,1,48,20170202031,Thursday
2017-02-02 04:00:00,1,44,20170202041,Thursday
2017-02-02 05:00:00,1,43,20170202051,Thursday
2017-02-02 06:00:00,1,43,20170202061,Thursday
2017-02-02 07:00:00,1,51,20170202071,Thursday
2017-02-02 08:00:00,1,53,20170202081,Thursday
2017-02-02 09:00:00,1,59,20170202091,Thursday
2017-02-02 10:00:00,1,74,20170202101,Thursday
2017-02-02 11:00:00,1,100,20170202111,Thursday
2017-02-02 12:00:00,1,103,20170202121,Thursday
2017-02-02 13:00:00,1,88,20170202131,Thursday
2017-02-02 14:00:00,1,89,20170202141,Thursday
2017-02-02 15:00:00,1,90,20170202151,Thursday
2017-02-02 16:00:00,1,84,20170202161,Thursday
2017-02-02 17:00:00,1,85,20170202171,Thursday
2017-02-02 18:00:00,1,94,20170202181,Thursday
2017-02-02 19:00:00,1,93,20170202191,Thursday
2017-02-02 20:00:00,1,91,20170202201,Thursday
2017-02-02 21:00:00,1,88,20170202211,Thursday
2017-02-02 22:00:00,1,90,20170202221,Thursday
2017-02-02 23:00:00,1,83,20170202231,Thursday
2017-02-03 00:00:00,1,73,20170203001,Friday
2017-02-03 01:00:00,1,61,20170203011,Friday
2017-02-03 02:00:00,1,56,20170203021,Friday
2017-02-03 03:00:00,1,50,20170203031,Friday
2017-02-03 04:00:00,1,45,20170203041,Friday
2017-02-03 05:00:00,1,38,20170203051,Friday
2017-02-03 06:00:00,1,39,20170203061,Friday
2017-02-03 07:00:00,1,43,20170203071,Friday
2017-02-03 08:00:00,1,55,20170203081,Friday
2017-02-03 09:00:00,1,64,20170203091,Friday
